source,text,created_at,retweet_count,favorite_count,is_retweet,id_str,text_cleaned,emotional_state
Twitter for iPhone,Hans Von Spakovsky “I haven’t seen any evidence of actual violations of the law which is usually a basis before you start an investigation. Adam Schiff seems to be copying Joseph McCarthy in wanting to open up investigations when they don’t have any evidence of wrongdoing.”,3/6/19 4:27,27441,101976,False,1.1e+18,hans von spakovsky seen evidence actual violations law usually basis start investigation adam schiff seems copying joseph mccarthy wanting open investigations evidence wrongdoing,"[[[0.2    0.112  0.745  0.451 ]
  [0.4    0.6075 0.511  0.7045]
  [0.2    0.112  0.745  0.451 ]
  [0.     0.     0.     0.    ]
  [0.     0.     0.     0.    ]
  [0.4    0.436  0.589  0.522 ]
  [0.     0.     0.     0.    ]
  [0.2    0.74   0.59   0.815 ]]]"
Twitter for iPhone,"RT @Uncle_Jimbo: .@JerryNadler admits on #CNN they have no proof of Obstruction by @realDonaldTrump it's just his ""personal opinion""Meet…",3/6/19 4:17,17395,0,True,1.1e+18,rt jimbo admits cnn proof obstruction personal opinion meet,"[[[0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [1.    0.594 0.41  0.543]]]"
Twitter for iPhone,Presidential Harassment! https://t.co/AHz6kLliaC,3/6/19 4:17,23,63,False,1.1e+18,presidential harassment,"[[[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]]"
Twitter for iPhone,RT @GOPChairwoman: While @realDonaldTrump was successful in the private sector career politicians enrich themselves by spending decades in…,3/6/19 4:16,13526,0,True,1.1e+18,rt successful private sector career politicians enrich spending decades,"[[[0.     0.     0.     0.    ]
  [1.     0.8445 0.718  0.772 ]
  [0.     0.     0.     0.    ]
  [0.     0.     0.     0.    ]
  [0.5    0.949  0.724  0.938 ]
  [0.     0.     0.     0.    ]
  [0.     0.     0.     0.    ]
  [0.5    0.949  0.724  0.938 ]]]"
Twitter for iPhone,RT @PressSec: Statement on Chairman Nadler’s fishing expedition. https://t.co/tBsVzrtGYg,3/6/19 4:15,16659,0,True,1.1e+18,rt statement chairman nadler fishing expedition,"[[[0.         0.         0.         0.        ]
  [0.33333333 0.735      0.802      0.62      ]
  [0.         0.         0.         0.        ]
  [0.         0.         0.         0.        ]
  [0.         0.         0.         0.        ]
  [0.         0.         0.         0.        ]
  [0.         0.         0.         0.        ]
  [0.66666667 0.672      0.5875     0.879     ]]]"
Twitter for iPhone,“(Crooked) Hillary Clinton confirms she will not run in 2020 rules out a third bid for White House.” Aw-shucks does that mean I won’t get to run against her again? She will be sorely missed!,3/5/19 22:18,33746,165422,False,1.1e+18,crooked hillary clinton confirms run 2020 rules third bid white house aw shucks mean get run sorely missed,"[[[0.    0.    0.    0.   ]
  [0.5   0.729 0.173 0.42 ]
  [0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [0.5   0.729 0.173 0.42 ]
  [0.5   0.284 0.727 0.37 ]
  [0.    0.    0.    0.   ]
  [0.5   0.729 0.173 0.42 ]]]"
Twitter for iPhone,Scott Gottlieb who has done an absolutely terrific job as Commissioner of the FDA plans to leave government service sometime next month....,3/5/19 20:54,11833,65446,False,1.1e+18,scott gottlieb done absolutely terrific job commissioner fda plans leave government service sometime next month,"[[[0.         0.         0.         0.        ]
  [0.         0.         0.         0.        ]
  [0.         0.         0.         0.        ]
  [0.33333333 0.427      0.53       0.85      ]
  [0.         0.         0.         0.        ]
  [0.66666667 0.617      0.4825     0.558     ]
  [0.33333333 0.375      0.315      0.295     ]
  [0.         0.         0.         0.        ]]]"
Twitter for iPhone,....Scott has helped us to lower drug prices get a record number of generic drugs approved and onto the market and so many other things. He and his talents will be greatly missed!,3/5/19 20:54,12040,69967,False,1.1e+18,scott helped us lower drug prices get record number generic drugs approved onto market many things talents greatly missed,"[[[0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [1.    0.327 0.296 0.258]
  [0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]]]"
Twitter for iPhone,Just a few moments ago I signed an EO addressing one of our nation’s most heartbreaking tragedies: VETERANS SUICIDE. To every Veteran—I want you to know that you have an entire nation of more than 300 million people behind you. You will NEVER be forgotten.https://t.co/DKxiV5Ku3B,3/5/19 19:49,26677,98961,False,1.1e+18,moments ago signed eo addressing one nation heartbreaking tragedies veterans suicide every veteran want know entire nation 300 million people behind never forgotten,"[[[0.2        0.03       0.873      0.429     ]
  [0.         0.         0.         0.        ]
  [0.         0.         0.         0.        ]
  [0.4        0.1325     0.5765     0.3065    ]
  [0.         0.         0.         0.        ]
  [0.4        0.1325     0.5765     0.3065    ]
  [0.         0.         0.         0.        ]
  [0.6        0.58266667 0.439      0.80033333]]]"
Twitter for iPhone,Our great First Lady (@FLOTUS) will be doing a LIVE show TODAY at 1:00 PM PT with the terrific @EricBolling at the @WestgateVegas Resort. She’s on her #BeBest Tour helping address the #OpioidCrisis. Free admission for the first 1500 people!,3/5/19 19:00,12317,61513,False,1.1e+18,great first lady live show today 1 00 pm pt terrific resort bebest tour helping address opioidcrisis free admission first 1500 people,"[[[0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [0.5   0.859 0.65  0.821]
  [0.    0.    0.    0.   ]
  [0.5   0.673 0.771 0.719]]]"
